year_date,year,team,city,player_name,postseason,games_played,minutes_played,points_per_game,def_points_per_game,point_difference,field_goal_made,field_goal_attempted,field_goal_percentage,def_field_goal_percentage,two_points_made,two_points_attempted,two_points_percentage,three_points_made,three_points_attempted,three_points_percentage,def_three_points_percentage,free_throws_made,free_throws_attempted,free_throws_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,offensive_rebounds_percentage,defensive_rebounds_percentage,total_rebounds_percentage,assists,steals,blocks,turnovers,def_turnovers,fouls
2013-02-01T08:00:00.000Z,2013,Pacers,Indianapolis,"",false,81,0,94.7,0,0,35.1,80.5,43.6,0,28.3,60.8,46.5,6.9,19.7,34.7,0,17.6,23.6,74.6,12.9,33,45.8,0,0,0,20.3,7.2,6.4,15.1,0,20
2013-02-01T08:00:00.000Z,2013,Magic,Orlando,"",false,82,0,94.1,0,0,37.7,84.2,44.8,0,31.5,65.5,48.2,6.2,18.7,32.9,0,12.5,16.6,75.5,10.9,31.9,42.7,0,0,0,22.8,6.4,4.4,14.5,0,19.4
2013-02-01T08:00:00.000Z,2013,Hornets,Charlotte,"",false,82,0,94.1,0,0,36,80.3,44.9,0,29.5,62.4,47.3,6.5,18,36.3,0,15.5,20,77.6,12,29.6,41.6,0,0,0,21,6.3,5.4,14.5,0,20.4
2013-02-01T08:00:00.000Z,2013,Bobcats,Charlotte,"",false,82,0,93.4,0,0,34.4,81.1,42.5,0,28.7,64,44.8,5.7,17.1,33.5,0,18.9,25.1,75,11.2,29.1,40.3,0,0,0,19.4,7.2,5.8,14.1,0,19
2013-02-01T08:00:00.000Z,2013,Grizzlies,Memphis,"",false,82,0,93.4,0,0,36.1,81.4,44.4,0,31.5,67.9,46.4,4.7,13.5,34.5,0,16.5,21.3,77.3,12.9,29.8,42.7,0,0,0,20.9,8.6,5.3,14,0,20.2
2013-02-01T08:00:00.000Z,2013,76ers,Philadelphia,"",false,82,0,93.2,0,0,37.3,84.1,44.4,0,31,66.6,46.6,6.3,17.5,36,0,12.2,16.8,72.9,10.9,30.4,41.4,0,0,0,22.8,7.4,4.7,13,0,18.3
2013-02-01T08:00:00.000Z,2013,Bulls,Chicago,"",false,82,0,93.2,0,0,35.7,81.7,43.7,0,30.2,66.3,45.6,5.4,15.4,35.3,0,16.4,21.2,77.3,12.5,30.7,43.2,0,0,0,23,7.2,5.1,14.3,0,19.7
2013-02-01T08:00:00.000Z,2013,Wizards,Washington,"",false,82,0,93.2,0,0,35.5,81.6,43.5,0,28.8,63.4,45.5,6.6,18.2,36.5,0,15.6,21.3,73.3,10.8,32.3,43.2,0,0,0,21.6,7.3,4.6,15.1,0,20.5
2011-02-01T08:00:00.000Z,2011,Nuggets,Denver,"",false,82,0,107.5,0,0,38.4,80.6,47.6,0,30.3,59.9,50.6,8.1,20.8,38.8,0,22.7,29.6,76.5,9.6,32.3,42,0,0,0,22.1,7.4,4.3,14.1,0,21
2011-02-01T08:00:00.000Z,2011,Knicks,New York,"",false,82,0,106.5,0,0,38.3,83.7,45.7,0,29,58.4,49.6,9.3,25.4,36.8,0,20.6,25.5,80.9,10.3,30.1,40.5,0,0,0,21.4,7.6,5.8,13.7,0,21.3
2011-02-01T08:00:00.000Z,2011,Rockets,Houston,"",false,82,0,105.9,0,0,38.7,85.1,45.4,0,30.4,62.6,48.6,8.3,22.5,36.7,0,20.3,25.4,80.1,11.7,31.1,42.8,0,0,0,23.8,7.1,4.5,13.5,0,20
2011-02-01T08:00:00.000Z,2011,Suns,Phoenix,"",false,82,0,105,0,0,39.3,83.5,47,0,30.7,60.8,50.5,8.5,22.6,37.7,0,18,23.6,75.9,10,30.2,40.2,0,0,0,23.7,6.6,4.4,14.3,0,20.3
2011-02-01T08:00:00.000Z,2011,Thunder,Oklahoma City,"",false,82,0,104.8,0,0,37.4,80.6,46.4,0,31.5,63.5,49.5,5.9,17.1,34.7,0,24.1,29.3,82.3,11,31.8,42.8,0,0,0,20.4,7.9,5.9,14.1,0,22.4
2011-02-01T08:00:00.000Z,2011,Spurs,San Antonio,"",false,82,0,103.7,0,0,38.4,80.8,47.5,0,30,59.8,50.3,8.4,21.1,39.7,0,18.5,24.2,76.7,10.1,31.7,41.9,0,0,0,22.4,7.3,4.5,13.4,0,19
2011-02-01T08:00:00.000Z,2011,Warriors,Oakland,"",false,82,0,103.4,0,0,39.6,85.9,46.1,0,31.3,64.6,48.4,8.4,21.3,39.2,0,15.7,20.7,76.1,11.6,28.9,40.5,0,0,0,22.5,9,5,14.6,0,22
2011-02-01T08:00:00.000Z,2011,Heat,Miami,"",false,82,0,102.1,0,0,37,76.8,48.1,0,30.3,58.8,51.5,6.7,18,37,0,21.5,27.9,76.9,9.6,32.5,42.1,0,0,0,20,6.6,5.2,13.9,0,20.4
2011-02-01T08:00:00.000Z,2011,Lakers,Los Angeles,"",false,82,0,101.5,0,0,38.1,82.4,46.3,0,31.8,64.3,49.4,6.4,18.1,35.2,0,18.8,24.1,77.9,12.1,31.9,44,0,0,0,22,7.3,5.1,13.1,0,19
2011-02-01T08:00:00.000Z,2011,Timberwolves,Minneapolis,"",false,82,0,101.1,0,0,37.7,85.5,44.1,0,30.5,66.5,45.9,7.2,19.1,37.6,0,18.5,24.1,76.8,13.2,31.2,44.4,0,0,0,20.1,7.2,5.1,17,0,22.3
2011-02-01T08:00:00.000Z,2011,Mavericks,Dallas,"",false,82,0,100.2,0,0,37.4,78.8,47.5,0,29.6,57.3,51.6,7.9,21.6,36.5,0,17.5,22.6,77.7,9.5,31.9,41.4,0,0,0,23.8,6.8,4.3,14,0,19.2
2011-02-01T08:00:00.000Z,2011,Grizzlies,Memphis,"",false,82,0,99.9,0,0,39,82.9,47.1,0,35.3,71.6,49.2,3.8,11.3,33.4,0,18.1,24.2,75,11.8,29.2,41,0,0,0,20.6,9.4,5.4,14,0,20.8
